year,indicator,value
1960,agriculture_pct_gdp,41.7413351234112
1961,agriculture_pct_gdp,41.0924821982676
1962,agriculture_pct_gdp,39.0659687962891
1963,agriculture_pct_gdp,39.825351677532
1964,agriculture_pct_gdp,41.3437167110651
1965,agriculture_pct_gdp,39.3846972550148
1966,agriculture_pct_gdp,40.3516512369392
1967,agriculture_pct_gdp,42.7515580248472
1968,agriculture_pct_gdp,42.0860273767475
1969,agriculture_pct_gdp,41.5849235838776
1970,agriculture_pct_gdp,40.2896134622547
1971,agriculture_pct_gdp,38.6333911913009
1972,agriculture_pct_gdp,38.6268263019613
1973,agriculture_pct_gdp,41.6038246201552
1974,agriculture_pct_gdp,38.8780587034235
1975,agriculture_pct_gdp,35.9969148408834
1976,agriculture_pct_gdp,34.3120367117561
1977,agriculture_pct_gdp,35.777144264307
1978,agriculture_pct_gdp,34.2739627109778
1979,agriculture_pct_gdp,32.8255300200485
1980,agriculture_pct_gdp,34.4088678062413
1981,agriculture_pct_gdp,33.2976974188253
1982,agriculture_pct_gdp,32.3267496865056
1983,agriculture_pct_gdp,32.6065348775622
1984,agriculture_pct_gdp,31.3805304117853
1985,agriculture_pct_gdp,29.7181383564993
1986,agriculture_pct_gdp,28.6411462697276
1987,agriculture_pct_gdp,27.9723784011745
1988,agriculture_pct_gdp,28.7698223693608
1989,agriculture_pct_gdp,27.8396057996888
1990,agriculture_pct_gdp,27.5848881365411
1991,agriculture_pct_gdp,27.6627054102247
1992,agriculture_pct_gdp,26.8969194477949
1993,agriculture_pct_gdp,27.0545587671255
1994,agriculture_pct_gdp,26.519937575032
1995,agriculture_pct_gdp,24.4575477898552
1996,agriculture_pct_gdp,25.199306058679
1997,agriculture_pct_gdp,24.248674505748
1998,agriculture_pct_gdp,24.180451549085
1999,agriculture_pct_gdp,22.9725618865025
2000,agriculture_pct_gdp,21.6110620465121
2001,agriculture_pct_gdp,21.6188848861438
2002,agriculture_pct_gdp,19.5345432709546
2003,agriculture_pct_gdp,19.5919979784251
2004,agriculture_pct_gdp,17.8146906487994
2005,agriculture_pct_gdp,17.6202069548839
2006,agriculture_pct_gdp,16.8094420944381
2007,agriculture_pct_gdp,16.7501197597569
2008,agriculture_pct_gdp,16.7909423598037
2009,agriculture_pct_gdp,16.7442701563161
2010,agriculture_pct_gdp,17.0265090136912
2011,agriculture_pct_gdp,17.191973558015
2012,agriculture_pct_gdp,16.8453770661356
2013,agriculture_pct_gdp,17.1484235433697
2014,agriculture_pct_gdp,16.7919345145039
2015,agriculture_pct_gdp,16.1745081068401
2016,agriculture_pct_gdp,16.3638005616331
2017,agriculture_pct_gdp,16.5583314049368
2018,agriculture_pct_gdp,16.031630686449
2019,agriculture_pct_gdp,16.7555683032837
2020,agriculture_pct_gdp,18.6685376603727
2021,agriculture_pct_gdp,17.3725615260314
2022,agriculture_pct_gdp,18.2106659929942
2023,agriculture_pct_gdp,17.6565389328245
2024,agriculture_pct_gdp,17.5735799524173
2025,agriculture_pct_gdp,16.2342483910129
1960,exports_pct_gdp,4.46315645554752
1961,exports_pct_gdp,4.30358618999823
1962,exports_pct_gdp,4.16897528321772
1963,exports_pct_gdp,4.28050338490125
1964,exports_pct_gdp,3.72555117263129
1965,exports_pct_gdp,3.30747278088062
1966,exports_pct_gdp,4.14255065953483
1967,exports_pct_gdp,4.03444499534157
1968,exports_pct_gdp,4.03877100579767
1969,exports_pct_gdp,3.71384282048158
1970,exports_pct_gdp,3.78282506202996
1971,exports_pct_gdp,3.66720521706169
1972,exports_pct_gdp,4.02748926155276
1973,exports_pct_gdp,4.20876319232872
1974,exports_pct_gdp,4.83132100337
1975,exports_pct_gdp,5.64706215785578
1976,exports_pct_gdp,6.68651286166981
1977,exports_pct_gdp,6.38317181373801
1978,exports_pct_gdp,6.3148252345082
1979,exports_pct_gdp,6.74963815730053
1980,exports_pct_gdp,6.13955113216183
1981,exports_pct_gdp,5.93602662657806
1982,exports_pct_gdp,5.98329984863978
1983,exports_pct_gdp,5.83762942427856
1984,exports_pct_gdp,6.28340139288612
1985,exports_pct_gdp,5.25455499628708
1986,exports_pct_gdp,5.19622166035989
1987,exports_pct_gdp,5.60458088400396
1988,exports_pct_gdp,6.03521975491128
1989,exports_pct_gdp,7.01613027794311
1990,exports_pct_gdp,7.05335023414457
1991,exports_pct_gdp,8.49424077053547
1992,exports_pct_gdp,8.84292692502088
1993,exports_pct_gdp,9.83421745486326
1994,exports_pct_gdp,9.8880849164454
1995,exports_pct_gdp,10.8439680350622
1996,exports_pct_gdp,10.3851692716063
1997,exports_pct_gdp,10.690717318379
1998,exports_pct_gdp,11.0184691793102
1999,exports_pct_gdp,11.4520646128009
2000,exports_pct_gdp,12.9972363113479
2001,exports_pct_gdp,12.5583796339108
2002,exports_pct_gdp,14.2643839243147
2003,exports_pct_gdp,14.9479138581734
2004,exports_pct_gdp,17.8591249630479
2005,exports_pct_gdp,19.6052466948335
2006,exports_pct_gdp,21.2679414221966
2007,exports_pct_gdp,20.7996997489032
2008,exports_pct_gdp,24.0973572601391
2009,exports_pct_gdp,20.4005193743564
2010,exports_pct_gdp,22.4009332487945
2011,exports_pct_gdp,24.5404113195713
2012,exports_pct_gdp,24.534430661418
