feature_set,model,rmse,mae,directional_accuracy
univariate,mean,2.9723068340833274,2.297278515968743,0.6097560975609756
univariate,ridge,3.189930664287987,2.5129302544565144,0.6341463414634146
univariate,random_forest,3.279620622404054,2.589553617528466,0.5853658536585366
univariate,gradient_boosting,3.5425585867266536,2.6682533975441127,0.5853658536585366
univariate,naive,3.703451928255272,2.3144108329286093,
multivariate,mean,3.9104449243409354,2.296358879525837,0.5454545454545454
multivariate,random_forest,4.028098584057427,2.5926331919798407,0.6363636363636364
multivariate,gradient_boosting,4.5125081692480675,2.816570576996151,0.5454545454545454
multivariate,naive,5.380840365820873,2.869103577459089,
multivariate,ridge,7.423615598102078,5.448749394495116,0.45454545454545453
